# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.1128
_ch0_neuron0,	0.5854
_ch0_neuron0,	1.0567
_ch0_neuron0,	1.5503
_ch0_neuron0,	2.0345
_ch0_neuron0,	2.5143
_ch0_neuron0,	2.9926
_ch0_neuron0,	3.4930
_ch0_neuron0,	3.9914
_ch0_neuron0,	4.4782
_ch0_neuron0,	4.9634
_ch0_neuron0,	5.4805
_ch0_neuron0,	5.9929
_ch0_neuron0,	6.4857
_ch0_neuron0,	6.9983
_ch0_neuron0,	7.5151
_ch0_neuron0,	8.0172
_ch0_neuron0,	8.5113
_ch0_neuron0,	9.0430
_ch0_neuron0,	9.5581
_ch0_neuron0,	10.0573
_ch0_neuron0,	10.5845
_ch0_neuron0,	11.1094
_ch0_neuron0,	11.6109
_ch0_neuron0,	12.1115
_ch0_neuron0,	12.6572
_ch0_neuron0,	13.1931
_ch0_neuron0,	13.7034
_ch0_neuron0,	14.2400
_ch0_neuron0,	14.7810
_ch0_neuron0,	15.3009
_ch0_neuron0,	15.8378
_ch0_neuron0,	16.3847
_ch0_neuron0,	16.9026
_ch0_neuron0,	17.4125
_ch0_neuron0,	17.9190
_ch0_neuron0,	18.4685
_ch0_neuron0,	19.0215
_ch0_neuron0,	19.5788
_ch0_neuron0,	20.1409
_ch0_neuron0,	20.6895
_ch0_neuron0,	21.2141
_ch0_neuron0,	21.3736
_ch0_neuron0,	21.7580
_ch0_neuron0,	21.9169
_ch0_neuron0,	22.2778
_ch0_neuron0,	22.4384
_ch0_neuron0,	22.7853
_ch0_neuron0,	22.9431
_ch0_neuron0,	23.2955
_ch0_neuron0,	23.8025
_ch0_neuron0,	24.2973
_ch0_neuron0,	24.7939
_ch0_neuron0,	25.2997
_ch0_neuron0,	25.6951
_ch0_neuron0,	25.8749
_ch0_neuron0,	26.4649
_ch0_neuron0,	27.0441
_ch0_neuron0,	27.6270
_ch0_neuron0,	28.2227
_ch0_neuron0,	28.8447
_ch0_neuron0,	29.5123
_ch0_neuron0,	30.1625
_ch0_neuron0,	30.7867
_ch0_neuron0,	31.3830
_ch0_neuron0,	31.9434
_ch0_neuron0,	32.5157
_ch0_neuron0,	32.6862
_ch0_neuron0,	33.0654
_ch0_neuron0,	33.6316
_ch0_neuron0,	34.1795
_ch0_neuron0,	34.7523
_ch0_neuron0,	35.3081
_ch0_neuron0,	35.8547
_ch0_neuron0,	36.3919
_ch0_neuron0,	36.9269
_ch0_neuron0,	37.5262
_ch0_neuron0,	38.1713
_ch0_neuron0,	39.0509
_ch0_neuron0,	39.8588
_ch0_neuron0,	40.5805
_ch0_neuron0,	41.2216
_ch0_neuron0,	41.8216
_ch0_neuron0,	42.3973
_ch0_neuron0,	42.9572
_ch0_neuron0,	43.5056
_ch0_neuron0,	44.0412
_ch0_neuron0,	44.5807
_ch0_neuron0,	45.1225
_ch0_neuron0,	45.6657
_ch0_neuron0,	45.8256
_ch0_neuron0,	46.2686
_ch0_neuron0,	46.8564
_ch0_neuron0,	47.4116
_ch0_neuron0,	47.5726
_ch0_neuron0,	47.9694
_ch0_neuron0,	48.5035
_ch0_neuron0,	49.0237
_ch0_neuron0,	49.5465
_ch0_neuron0,	50.0912
_ch0_neuron0,	51.0753
_ch0_neuron0,	51.9285
_ch0_neuron0,	52.7304
_ch0_neuron0,	53.5304
_ch0_neuron0,	54.3347
_ch0_neuron0,	55.1274
_ch0_neuron0,	55.8205
_ch0_neuron0,	56.4092
_ch0_neuron0,	56.5887
_ch0_neuron0,	56.9818
_ch0_neuron0,	57.5514
_ch0_neuron0,	58.1124
_ch0_neuron0,	58.7132
_ch0_neuron0,	59.2838
_ch0_neuron0,	59.8507
_ch0_neuron0,	60.4246
_neuron0threshhig-3651,	0.0000
_neuron0threshlow-12631,	0.0000
