# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0242
_ch0_neuron0,	0.1438
_ch0_neuron0,	0.6835
_ch0_neuron0,	1.2347
_ch0_neuron0,	1.7800
_ch0_neuron0,	3.4958
_ch0_neuron0,	5.1735
_ch0_neuron0,	6.8428
_ch0_neuron0,	7.4107
_ch0_neuron0,	8.0250
_ch0_neuron0,	8.7158
_ch0_neuron0,	9.4024
_ch0_neuron0,	10.0839
_ch0_neuron0,	10.7699
_ch0_neuron0,	11.4168
_ch0_neuron0,	12.0781
_ch0_neuron0,	12.7368
_ch0_neuron0,	13.3651
_ch0_neuron0,	13.9913
_ch0_neuron0,	14.6222
_ch0_neuron0,	15.2532
_ch0_neuron0,	15.8794
_ch0_neuron0,	16.5456
_ch0_neuron0,	17.2761
_ch0_neuron0,	17.9686
_ch0_neuron0,	18.6750
_ch0_neuron0,	19.3909
_ch0_neuron0,	20.1367
_ch0_neuron0,	20.8459
_ch0_neuron0,	21.5435
_ch0_neuron0,	22.2074
_ch0_neuron0,	22.8952
_ch0_neuron0,	23.6591
_ch0_neuron0,	24.4451
_ch0_neuron0,	25.2406
_ch0_neuron0,	26.0366
_ch0_neuron0,	26.7994
_ch0_neuron0,	27.5426
_ch0_neuron0,	28.3328
_ch0_neuron0,	29.1353
_ch0_neuron0,	29.8840
_ch0_neuron0,	30.6208
_ch0_neuron0,	31.4840
_ch0_neuron0,	32.3943
_ch0_neuron0,	33.2986
_ch0_neuron0,	34.1762
_ch0_neuron0,	35.0176
_ch0_neuron0,	35.8344
_ch0_neuron0,	36.6378
_ch0_neuron0,	37.4333
_ch0_neuron0,	38.2497
_ch0_neuron0,	39.1561
_ch0_neuron0,	40.0927
_ch0_neuron0,	41.0120
_ch0_neuron0,	41.8962
_ch0_neuron0,	42.6642
_ch0_neuron0,	43.3861
_ch0_neuron0,	44.1189
_ch0_neuron0,	44.9177
_ch0_neuron0,	45.8252
_ch0_neuron0,	46.7301
_ch0_neuron0,	47.6536
_ch0_neuron0,	48.5615
_ch0_neuron0,	49.4448
_ch0_neuron0,	50.3483
_ch0_neuron0,	51.2310
_ch0_neuron0,	52.1207
_ch0_neuron0,	53.0779
_ch0_neuron0,	53.9534
_ch0_neuron0,	54.7409
_ch0_neuron0,	55.5169
_ch0_neuron0,	56.3848
_ch0_neuron0,	57.3236
_ch0_neuron0,	58.2776
_ch0_neuron0,	59.1980
_neuron0threshhig14562,	0.0000
_neuron0threshlow6588,	0.0000
