# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	1.9472
_ch0_neuron0,	2.4944
_ch0_neuron0,	3.1157
_ch0_neuron0,	3.7597
_ch0_neuron0,	4.3378
_ch0_neuron0,	4.8746
_ch0_neuron0,	5.9168
_ch0_neuron0,	6.4769
_ch0_neuron0,	7.1347
_ch0_neuron0,	7.8111
_ch0_neuron0,	8.4744
_ch0_neuron0,	9.1465
_ch0_neuron0,	9.8278
_ch0_neuron0,	10.4514
_ch0_neuron0,	11.0334
_ch0_neuron0,	11.6067
_ch0_neuron0,	12.1714
_ch0_neuron0,	12.7145
_ch0_neuron0,	13.2449
_ch0_neuron0,	13.7675
_ch0_neuron0,	14.3172
_ch0_neuron0,	15.0762
_ch0_neuron0,	15.8426
_ch0_neuron0,	16.5351
_ch0_neuron0,	17.1934
_ch0_neuron0,	17.8427
_ch0_neuron0,	18.4914
_ch0_neuron0,	19.1228
_ch0_neuron0,	19.7301
_ch0_neuron0,	20.3087
_ch0_neuron0,	20.8679
_ch0_neuron0,	21.5107
_ch0_neuron0,	22.2318
_ch0_neuron0,	22.9636
_ch0_neuron0,	23.6539
_ch0_neuron0,	24.3433
_ch0_neuron0,	25.0558
_ch0_neuron0,	25.7724
_ch0_neuron0,	26.4488
_ch0_neuron0,	27.0979
_ch0_neuron0,	27.7457
_ch0_neuron0,	28.4058
_ch0_neuron0,	29.0509
_ch0_neuron0,	29.6845
_ch0_neuron0,	30.3545
_ch0_neuron0,	31.1966
_ch0_neuron0,	31.9835
_ch0_neuron0,	32.7367
_ch0_neuron0,	33.5047
_ch0_neuron0,	34.2662
_ch0_neuron0,	34.9475
_ch0_neuron0,	35.6225
_ch0_neuron0,	36.3287
_ch0_neuron0,	37.0375
_ch0_neuron0,	37.7327
_ch0_neuron0,	38.4523
_ch0_neuron0,	39.2862
_ch0_neuron0,	40.1253
_ch0_neuron0,	40.9001
_ch0_neuron0,	41.6849
_ch0_neuron0,	42.4704
_ch0_neuron0,	43.1963
_ch0_neuron0,	43.8800
_ch0_neuron0,	44.5968
_ch0_neuron0,	45.3559
_ch0_neuron0,	46.0941
_ch0_neuron0,	46.8320
_ch0_neuron0,	47.6557
_ch0_neuron0,	48.4847
_ch0_neuron0,	49.2695
_ch0_neuron0,	50.0836
_ch0_neuron0,	50.9067
_ch0_neuron0,	51.6699
_ch0_neuron0,	52.4121
_ch0_neuron0,	53.1867
_ch0_neuron0,	53.9614
_ch0_neuron0,	54.7033
_ch0_neuron0,	55.4749
_ch0_neuron0,	56.3455
_ch0_neuron0,	57.1866
_ch0_neuron0,	57.9468
_ch0_neuron0,	58.7141
_ch0_neuron0,	59.5310
_neuron0threshhig11497,	0.0000
_neuron0threshlow6630,	0.0000
