# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.2402
_ch0_neuron0,	0.8470
_ch0_neuron0,	1.4397
_ch0_neuron0,	2.0602
_ch0_neuron0,	2.4849
_ch0_neuron0,	2.5052
_ch0_neuron0,	2.6054
_ch0_neuron0,	2.7665
_ch0_neuron0,	2.8666
_ch0_neuron0,	3.7518
_ch0_neuron0,	4.5362
_ch0_neuron0,	5.2797
_ch0_neuron0,	5.5406
_ch0_neuron0,	5.9534
_ch0_neuron0,	6.6050
_ch0_neuron0,	7.2110
_ch0_neuron0,	7.8830
_ch0_neuron0,	8.5287
_ch0_neuron0,	9.1890
_ch0_neuron0,	9.9090
_ch0_neuron0,	10.6112
_ch0_neuron0,	11.3558
_ch0_neuron0,	12.1428
_ch0_neuron0,	12.8411
_ch0_neuron0,	13.5117
_ch0_neuron0,	14.2196
_ch0_neuron0,	14.8730
_ch0_neuron0,	15.5355
_ch0_neuron0,	16.1622
_ch0_neuron0,	16.8788
_ch0_neuron0,	17.7483
_ch0_neuron0,	18.5724
_ch0_neuron0,	19.3125
_ch0_neuron0,	20.0066
_ch0_neuron0,	20.6886
_ch0_neuron0,	21.3569
_ch0_neuron0,	22.1706
_ch0_neuron0,	22.9803
_ch0_neuron0,	23.8531
_ch0_neuron0,	24.7490
_ch0_neuron0,	25.6096
_ch0_neuron0,	26.4505
_ch0_neuron0,	27.1586
_ch0_neuron0,	27.8082
_ch0_neuron0,	28.4807
_ch0_neuron0,	29.4544
_ch0_neuron0,	30.2565
_ch0_neuron0,	31.1435
_ch0_neuron0,	31.9467
_ch0_neuron0,	32.7744
_ch0_neuron0,	34.6365
_ch0_neuron0,	35.5992
_ch0_neuron0,	36.2513
_ch0_neuron0,	36.4634
_ch0_neuron0,	37.3292
_ch0_neuron0,	38.1404
_ch0_neuron0,	38.7218
_ch0_neuron0,	38.9417
_ch0_neuron0,	39.7865
_ch0_neuron0,	40.6110
_ch0_neuron0,	41.2926
_ch0_neuron0,	42.0072
_ch0_neuron0,	43.0329
_ch0_neuron0,	44.0919
_ch0_neuron0,	45.1113
_ch0_neuron0,	46.1158
_ch0_neuron0,	47.1521
_ch0_neuron0,	48.0993
_ch0_neuron0,	48.9504
_ch0_neuron0,	49.8050
_ch0_neuron0,	50.5664
_ch0_neuron0,	51.1379
_ch0_neuron0,	51.3725
_ch0_neuron0,	52.1831
_ch0_neuron0,	53.0223
_ch0_neuron0,	54.8506
_ch0_neuron0,	56.7592
_ch0_neuron0,	57.7796
_ch0_neuron0,	58.7427
_ch0_neuron0,	59.7111
_neuron0threshhig-4259,	0.0000
_neuron0threshlow-9264,	0.0000
