# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.2087
_ch0_neuron0,	0.3810
_ch0_neuron0,	0.6831
_ch0_neuron0,	0.9945
_ch0_neuron0,	1.1590
_ch0_neuron0,	1.4366
_ch0_neuron0,	1.6345
_ch0_neuron0,	1.8923
_ch0_neuron0,	2.2468
_ch0_neuron0,	2.5099
_ch0_neuron0,	2.6727
_ch0_neuron0,	3.6129
_ch0_neuron0,	4.1980
_ch0_neuron0,	4.7832
_ch0_neuron0,	5.3148
_ch0_neuron0,	5.8598
_ch0_neuron0,	6.4339
_ch0_neuron0,	7.0278
_ch0_neuron0,	7.6750
_ch0_neuron0,	8.3156
_ch0_neuron0,	8.9245
_ch0_neuron0,	9.4848
_ch0_neuron0,	10.0344
_ch0_neuron0,	10.6103
_ch0_neuron0,	11.2555
_ch0_neuron0,	11.8885
_ch0_neuron0,	12.4664
_ch0_neuron0,	13.0266
_ch0_neuron0,	13.6029
_ch0_neuron0,	14.2321
_ch0_neuron0,	14.8589
_ch0_neuron0,	15.4278
_ch0_neuron0,	16.0335
_ch0_neuron0,	16.6840
_ch0_neuron0,	17.2875
_ch0_neuron0,	17.8871
_ch0_neuron0,	18.5396
_ch0_neuron0,	19.2141
_ch0_neuron0,	19.8390
_ch0_neuron0,	20.4723
_ch0_neuron0,	21.1268
_ch0_neuron0,	21.7165
_ch0_neuron0,	22.2741
_ch0_neuron0,	22.8261
_ch0_neuron0,	23.4027
_ch0_neuron0,	23.9780
_ch0_neuron0,	24.5230
_ch0_neuron0,	25.0465
_ch0_neuron0,	25.6053
_ch0_neuron0,	26.6087
_ch0_neuron0,	27.3916
_ch0_neuron0,	28.0716
_ch0_neuron0,	28.8304
_ch0_neuron0,	29.5874
_ch0_neuron0,	30.2345
_ch0_neuron0,	30.8743
_ch0_neuron0,	31.6021
_ch0_neuron0,	32.2499
_ch0_neuron0,	32.9503
_ch0_neuron0,	33.9718
_ch0_neuron0,	34.7377
_ch0_neuron0,	35.5141
_ch0_neuron0,	36.4416
_ch0_neuron0,	37.1980
_ch0_neuron0,	37.9374
_ch0_neuron0,	38.7292
_ch0_neuron0,	39.4971
_ch0_neuron0,	40.2480
_ch0_neuron0,	41.0759
_ch0_neuron0,	41.8449
_ch0_neuron0,	42.5923
_ch0_neuron0,	43.4132
_ch0_neuron0,	44.3640
_ch0_neuron0,	45.2306
_ch0_neuron0,	45.9656
_ch0_neuron0,	46.6851
_ch0_neuron0,	47.4537
_ch0_neuron0,	48.2475
_ch0_neuron0,	48.9543
_ch0_neuron0,	49.7013
_ch0_neuron0,	50.5009
_ch0_neuron0,	51.2409
_ch0_neuron0,	52.0241
_ch0_neuron0,	52.9402
_ch0_neuron0,	53.7457
_ch0_neuron0,	54.4767
_ch0_neuron0,	55.2544
_ch0_neuron0,	56.1004
_ch0_neuron0,	56.8234
_ch0_neuron0,	57.5966
_ch0_neuron0,	58.4342
_ch0_neuron0,	59.2559
_ch0_neuron0,	60.0001
_ch0_neuron0,	60.6926
_ch0_neuron0,	61.4157
_neuron0threshhig14236,	0.0000
_neuron0threshlow7650,	0.0000
