# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.4861
_ch0_neuron0,	1.1787
_ch0_neuron0,	1.8516
_ch0_neuron0,	2.4853
_ch0_neuron0,	3.1189
_ch0_neuron0,	3.7700
_ch0_neuron0,	4.4443
_ch0_neuron0,	5.0849
_ch0_neuron0,	5.6938
_ch0_neuron0,	6.3230
_ch0_neuron0,	6.9959
_ch0_neuron0,	7.6304
_ch0_neuron0,	8.2909
_ch0_neuron0,	8.4886
_ch0_neuron0,	8.9910
_ch0_neuron0,	9.6554
_ch0_neuron0,	10.2794
_ch0_neuron0,	10.9528
_ch0_neuron0,	11.6652
_ch0_neuron0,	12.3937
_ch0_neuron0,	13.0532
_ch0_neuron0,	13.7150
_ch0_neuron0,	14.3892
_ch0_neuron0,	15.0741
_ch0_neuron0,	15.7262
_ch0_neuron0,	16.3484
_ch0_neuron0,	16.9842
_ch0_neuron0,	17.6692
_ch0_neuron0,	18.3300
_ch0_neuron0,	18.9382
_ch0_neuron0,	19.5333
_ch0_neuron0,	20.1959
_ch0_neuron0,	20.9100
_ch0_neuron0,	21.6664
_ch0_neuron0,	22.4347
_ch0_neuron0,	23.0759
_ch0_neuron0,	23.2009
_ch0_neuron0,	23.8805
_ch0_neuron0,	24.4966
_ch0_neuron0,	25.1180
_ch0_neuron0,	25.8555
_ch0_neuron0,	26.6639
_ch0_neuron0,	27.5165
_ch0_neuron0,	28.3737
_ch0_neuron0,	29.2001
_ch0_neuron0,	29.4087
_ch0_neuron0,	29.9900
_ch0_neuron0,	30.1884
_ch0_neuron0,	30.7246
_ch0_neuron0,	30.9200
_ch0_neuron0,	31.4165
_ch0_neuron0,	32.0675
_ch0_neuron0,	32.6654
_ch0_neuron0,	33.2414
_ch0_neuron0,	33.8829
_ch0_neuron0,	34.7920
_ch0_neuron0,	35.7083
_ch0_neuron0,	36.6509
_ch0_neuron0,	38.6022
_ch0_neuron0,	39.5516
_ch0_neuron0,	40.4520
_ch0_neuron0,	43.1362
_ch0_neuron0,	43.6904
_ch0_neuron0,	43.9106
_ch0_neuron0,	44.4501
_ch0_neuron0,	45.1314
_ch0_neuron0,	45.7870
_ch0_neuron0,	46.4776
_ch0_neuron0,	47.2736
_ch0_neuron0,	48.1538
_ch0_neuron0,	49.0751
_ch0_neuron0,	50.0111
_ch0_neuron0,	50.9551
_ch0_neuron0,	51.8621
_ch0_neuron0,	52.7556
_ch0_neuron0,	53.6155
_ch0_neuron0,	53.8337
_ch0_neuron0,	54.4300
_ch0_neuron0,	55.2128
_ch0_neuron0,	55.4255
_ch0_neuron0,	55.9779
_ch0_neuron0,	56.1910
_ch0_neuron0,	57.9710
_ch0_neuron0,	58.7059
_ch0_neuron0,	59.5816
_ch0_neuron0,	60.5282
_ch0_neuron0,	61.4727
_neuron0threshhig15737,	0.0000
_neuron0threshlow4742,	0.0000
