# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.2957
_ch0_neuron0,	0.9273
_ch0_neuron0,	1.8304
_ch0_neuron0,	2.6496
_ch0_neuron0,	3.3756
_ch0_neuron0,	4.6770
_ch0_neuron0,	5.3449
_ch0_neuron0,	6.0658
_ch0_neuron0,	6.8649
_ch0_neuron0,	7.5584
_ch0_neuron0,	8.2272
_ch0_neuron0,	8.9373
_ch0_neuron0,	9.7982
_ch0_neuron0,	10.6513
_ch0_neuron0,	11.3773
_ch0_neuron0,	12.0645
_ch0_neuron0,	12.8224
_ch0_neuron0,	13.7264
_ch0_neuron0,	14.6326
_ch0_neuron0,	15.3998
_ch0_neuron0,	16.0828
_ch0_neuron0,	16.7947
_ch0_neuron0,	17.7350
_ch0_neuron0,	18.6988
_ch0_neuron0,	19.5559
_ch0_neuron0,	20.3841
_ch0_neuron0,	21.3276
_ch0_neuron0,	22.2190
_ch0_neuron0,	22.9601
_ch0_neuron0,	23.6771
_ch0_neuron0,	24.7505
_ch0_neuron0,	25.7421
_ch0_neuron0,	26.7125
_ch0_neuron0,	27.5193
_ch0_neuron0,	28.4231
_ch0_neuron0,	29.3091
_ch0_neuron0,	30.0570
_ch0_neuron0,	30.8998
_ch0_neuron0,	31.8493
_ch0_neuron0,	32.6240
_ch0_neuron0,	33.3727
_ch0_neuron0,	34.5021
_ch0_neuron0,	35.5203
_ch0_neuron0,	36.5119
_ch0_neuron0,	37.4530
_ch0_neuron0,	38.2261
_ch0_neuron0,	39.1029
_ch0_neuron0,	40.1119
_ch0_neuron0,	40.9524
_ch0_neuron0,	41.7322
_ch0_neuron0,	42.7421
_ch0_neuron0,	43.8078
_ch0_neuron0,	44.8258
_ch0_neuron0,	45.6948
_ch0_neuron0,	46.4663
_ch0_neuron0,	47.3822
_ch0_neuron0,	48.3735
_ch0_neuron0,	49.3841
_ch0_neuron0,	50.3202
_ch0_neuron0,	51.2885
_ch0_neuron0,	52.3282
_ch0_neuron0,	53.2968
_ch0_neuron0,	54.0805
_ch0_neuron0,	54.8222
_ch0_neuron0,	55.9469
_ch0_neuron0,	57.0354
_ch0_neuron0,	58.0830
_ch0_neuron0,	58.9903
_ch0_neuron0,	59.9256
_ch0_neuron0,	61.0352
_ch0_neuron0,	62.0810
_ch0_neuron0,	62.9681
_ch0_neuron0,	63.8557
_neuron0threshhig13036,	0.0000
_neuron0threshlow6282,	0.0000
