# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.3643
_ch0_neuron0,	0.8262
_ch0_neuron0,	1.2813
_ch0_neuron0,	1.7351
_ch0_neuron0,	2.1912
_ch0_neuron0,	2.6532
_ch0_neuron0,	3.1079
_ch0_neuron0,	3.5605
_ch0_neuron0,	4.0050
_ch0_neuron0,	4.4578
_ch0_neuron0,	4.9085
_ch0_neuron0,	5.3559
_ch0_neuron0,	5.8022
_ch0_neuron0,	6.2467
_ch0_neuron0,	6.6976
_ch0_neuron0,	7.1500
_ch0_neuron0,	7.5968
_ch0_neuron0,	8.0451
_ch0_neuron0,	8.4897
_ch0_neuron0,	8.9451
_ch0_neuron0,	9.3983
_ch0_neuron0,	9.8535
_ch0_neuron0,	10.3104
_ch0_neuron0,	10.7684
_ch0_neuron0,	11.2349
_ch0_neuron0,	11.7028
_ch0_neuron0,	12.1749
_ch0_neuron0,	12.6435
_ch0_neuron0,	13.1147
_ch0_neuron0,	13.5858
_ch0_neuron0,	14.0546
_ch0_neuron0,	14.5222
_ch0_neuron0,	14.9940
_ch0_neuron0,	15.4673
_ch0_neuron0,	15.9393
_ch0_neuron0,	16.4061
_ch0_neuron0,	16.8817
_ch0_neuron0,	17.3569
_ch0_neuron0,	17.8319
_ch0_neuron0,	18.3057
_ch0_neuron0,	18.7799
_ch0_neuron0,	19.2629
_ch0_neuron0,	19.7459
_ch0_neuron0,	20.2314
_ch0_neuron0,	20.7191
_ch0_neuron0,	21.2191
_ch0_neuron0,	21.7243
_ch0_neuron0,	22.2332
_ch0_neuron0,	22.7367
_ch0_neuron0,	23.2406
_ch0_neuron0,	23.7483
_ch0_neuron0,	24.2513
_ch0_neuron0,	24.7455
_ch0_neuron0,	25.2333
_ch0_neuron0,	25.7361
_ch0_neuron0,	26.2380
_ch0_neuron0,	26.7372
_ch0_neuron0,	27.2279
_ch0_neuron0,	27.7227
_ch0_neuron0,	28.2322
_ch0_neuron0,	28.7438
_ch0_neuron0,	29.2506
_ch0_neuron0,	29.7483
_ch0_neuron0,	30.2533
_ch0_neuron0,	30.7675
_ch0_neuron0,	31.2787
_ch0_neuron0,	31.7807
_ch0_neuron0,	32.2897
_ch0_neuron0,	32.8080
_ch0_neuron0,	33.3297
_ch0_neuron0,	33.8434
_ch0_neuron0,	34.3523
_ch0_neuron0,	34.8791
_ch0_neuron0,	35.4079
_ch0_neuron0,	35.9325
_ch0_neuron0,	36.4494
_ch0_neuron0,	36.9786
_ch0_neuron0,	37.5110
_ch0_neuron0,	38.0413
_ch0_neuron0,	38.5601
_ch0_neuron0,	39.0852
_ch0_neuron0,	39.6143
_ch0_neuron0,	40.1440
_ch0_neuron0,	40.6659
_ch0_neuron0,	41.1934
_ch0_neuron0,	41.7335
_ch0_neuron0,	42.2732
_ch0_neuron0,	42.8022
_ch0_neuron0,	43.3346
_ch0_neuron0,	43.8815
_ch0_neuron0,	44.4270
_ch0_neuron0,	44.9664
_ch0_neuron0,	45.5238
_ch0_neuron0,	46.0847
_ch0_neuron0,	46.6371
_ch0_neuron0,	47.1901
_ch0_neuron0,	47.7655
_ch0_neuron0,	48.3437
_ch0_neuron0,	48.9118
_ch0_neuron0,	49.4812
_ch0_neuron0,	50.0580
_ch0_neuron0,	50.6327
_ch0_neuron0,	51.1958
_ch0_neuron0,	51.7684
_ch0_neuron0,	52.3375
_ch0_neuron0,	52.8961
_ch0_neuron0,	53.4423
_ch0_neuron0,	54.0025
_ch0_neuron0,	54.5652
_ch0_neuron0,	55.1276
_ch0_neuron0,	55.6820
_ch0_neuron0,	56.2488
_ch0_neuron0,	56.8165
_ch0_neuron0,	57.3806
_ch0_neuron0,	57.9313
_ch0_neuron0,	58.4910
_ch0_neuron0,	59.0499
_ch0_neuron0,	59.6046
_ch0_neuron0,	60.1755
_ch0_neuron0,	60.7530
_ch0_neuron0,	61.3188
_ch0_neuron0,	61.8827
_ch0_neuron0,	62.4493
_ch0_neuron0,	63.0024
_ch0_neuron0,	63.5409
_neuron0threshhig15569,	0.0000
_neuron0threshlow12738,	0.0000
