# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.3208
_ch0_neuron0,	0.6906
_ch0_neuron0,	1.0568
_ch0_neuron0,	1.4233
_ch0_neuron0,	1.7861
_ch0_neuron0,	2.1477
_ch0_neuron0,	2.5103
_ch0_neuron0,	2.8721
_ch0_neuron0,	3.2358
_ch0_neuron0,	3.6037
_ch0_neuron0,	3.9741
_ch0_neuron0,	4.3456
_ch0_neuron0,	4.7171
_ch0_neuron0,	5.0913
_ch0_neuron0,	5.4685
_ch0_neuron0,	5.8467
_ch0_neuron0,	6.2311
_ch0_neuron0,	6.6137
_ch0_neuron0,	6.9943
_ch0_neuron0,	7.3770
_ch0_neuron0,	7.7611
_ch0_neuron0,	8.1521
_ch0_neuron0,	8.5476
_ch0_neuron0,	8.9446
_ch0_neuron0,	9.3367
_ch0_neuron0,	9.7306
_ch0_neuron0,	10.1302
_ch0_neuron0,	10.5348
_ch0_neuron0,	10.9425
_ch0_neuron0,	11.3432
_ch0_neuron0,	11.7420
_ch0_neuron0,	12.1418
_ch0_neuron0,	12.5467
_ch0_neuron0,	12.9543
_ch0_neuron0,	13.3650
_ch0_neuron0,	13.7686
_ch0_neuron0,	14.1688
_ch0_neuron0,	14.5707
_ch0_neuron0,	14.9742
_ch0_neuron0,	15.3825
_ch0_neuron0,	15.7955
_ch0_neuron0,	16.2086
_ch0_neuron0,	16.6171
_ch0_neuron0,	17.0245
_ch0_neuron0,	17.3845
_ch0_neuron0,	17.4448
_ch0_neuron0,	17.8262
_ch0_neuron0,	17.8696
_ch0_neuron0,	18.0894
_ch0_neuron0,	18.3066
_ch0_neuron0,	18.7389
_ch0_neuron0,	18.9601
_ch0_neuron0,	19.1631
_ch0_neuron0,	19.5836
_ch0_neuron0,	20.0000
_ch0_neuron0,	20.4221
_ch0_neuron0,	20.8568
_ch0_neuron0,	21.3111
_ch0_neuron0,	21.7871
_ch0_neuron0,	22.2721
_ch0_neuron0,	22.7475
_ch0_neuron0,	22.9616
_ch0_neuron0,	23.2245
_ch0_neuron0,	23.6939
_ch0_neuron0,	24.1587
_ch0_neuron0,	24.6187
_ch0_neuron0,	25.0702
_ch0_neuron0,	25.5076
_ch0_neuron0,	25.9399
_ch0_neuron0,	26.3706
_ch0_neuron0,	26.7589
_ch0_neuron0,	26.8061
_ch0_neuron0,	27.2561
_ch0_neuron0,	27.7148
_ch0_neuron0,	28.1576
_ch0_neuron0,	28.5944
_ch0_neuron0,	29.0325
_ch0_neuron0,	29.4858
_ch0_neuron0,	29.9549
_ch0_neuron0,	30.4342
_ch0_neuron0,	30.8998
_ch0_neuron0,	31.3677
_ch0_neuron0,	31.7487
_ch0_neuron0,	31.8380
_ch0_neuron0,	32.2988
_ch0_neuron0,	32.7599
_ch0_neuron0,	33.2155
_ch0_neuron0,	33.6694
_ch0_neuron0,	34.1320
_ch0_neuron0,	34.6124
_ch0_neuron0,	35.0445
_ch0_neuron0,	35.3559
_ch0_neuron0,	37.1415
_ch0_neuron0,	37.5746
_ch0_neuron0,	37.6263
_ch0_neuron0,	38.1047
_ch0_neuron0,	38.3290
_ch0_neuron0,	38.5300
_ch0_neuron0,	38.5786
_ch0_neuron0,	38.9921
_ch0_neuron0,	39.0427
_ch0_neuron0,	39.4233
_ch0_neuron0,	39.4961
_ch0_neuron0,	39.7144
_ch0_neuron0,	39.9406
_ch0_neuron0,	40.3775
_ch0_neuron0,	41.2437
_ch0_neuron0,	41.6818
_ch0_neuron0,	42.1396
_ch0_neuron0,	42.6972
_ch0_neuron0,	43.3491
_ch0_neuron0,	44.5428
_ch0_neuron0,	46.6398
_ch0_neuron0,	47.0944
_ch0_neuron0,	47.1645
_ch0_neuron0,	47.5769
_ch0_neuron0,	47.6760
_ch0_neuron0,	48.1762
_ch0_neuron0,	48.6621
_ch0_neuron0,	49.1344
_ch0_neuron0,	49.5928
_ch0_neuron0,	50.0419
_ch0_neuron0,	50.2696
_ch0_neuron0,	50.4849
_ch0_neuron0,	50.9320
_ch0_neuron0,	51.3856
_ch0_neuron0,	51.7971
_ch0_neuron0,	51.8451
_ch0_neuron0,	52.0859
_ch0_neuron0,	52.2946
_ch0_neuron0,	52.5271
_ch0_neuron0,	52.7401
_ch0_neuron0,	53.0899
_ch0_neuron0,	53.1893
_ch0_neuron0,	53.6437
_ch0_neuron0,	54.5764
_ch0_neuron0,	56.2228
_ch0_neuron0,	56.4937
_ch0_neuron0,	57.7316
_ch0_neuron0,	58.2766
_ch0_neuron0,	58.7881
_ch0_neuron0,	59.2838
_ch0_neuron0,	59.5279
_ch0_neuron0,	59.7667
_ch0_neuron0,	60.2403
_ch0_neuron0,	60.6305
_ch0_neuron0,	60.7061
_ch0_neuron0,	61.1083
_ch0_neuron0,	61.1641
_ch0_neuron0,	61.6148
_ch0_neuron0,	62.0590
_ch0_neuron0,	62.5123
_ch0_neuron0,	62.9833
_ch0_neuron0,	63.4835
_ch0_neuron0,	63.7164
_ch0_neuron0,	63.9890
_ch0_neuron0,	64.4683
_ch0_neuron0,	64.6979
_ch0_neuron0,	64.9389
_ch0_neuron0,	65.4044
_ch0_neuron0,	65.8774
_ch0_neuron0,	66.3548
_ch0_neuron0,	68.6246
_ch0_neuron0,	69.1688
_ch0_neuron0,	69.6874
_ch0_neuron0,	70.1908
_ch0_neuron0,	70.6819
_neuron0threshhig-2550,	0.0000
_neuron0threshlow-11847,	0.0000
