# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.3047
_ch0_neuron0,	0.4954
_ch0_neuron0,	0.9434
_ch0_neuron0,	1.5155
_ch0_neuron0,	2.0461
_ch0_neuron0,	2.5697
_ch0_neuron0,	3.1107
_ch0_neuron0,	3.7095
_ch0_neuron0,	4.3537
_ch0_neuron0,	4.9869
_ch0_neuron0,	5.1787
_ch0_neuron0,	5.6273
_ch0_neuron0,	6.2490
_ch0_neuron0,	6.4333
_ch0_neuron0,	6.8358
_ch0_neuron0,	7.3892
_ch0_neuron0,	7.9302
_ch0_neuron0,	8.4728
_ch0_neuron0,	9.1069
_ch0_neuron0,	9.9266
_ch0_neuron0,	10.6179
_ch0_neuron0,	11.2975
_ch0_neuron0,	11.4948
_ch0_neuron0,	11.9408
_ch0_neuron0,	12.5344
_ch0_neuron0,	12.7250
_ch0_neuron0,	13.1040
_ch0_neuron0,	13.7261
_ch0_neuron0,	14.5615
_ch0_neuron0,	15.2409
_ch0_neuron0,	15.9221
_ch0_neuron0,	16.5424
_ch0_neuron0,	17.1304
_ch0_neuron0,	17.7017
_ch0_neuron0,	17.8917
_ch0_neuron0,	18.3002
_ch0_neuron0,	18.9219
_ch0_neuron0,	19.1367
_ch0_neuron0,	19.5592
_ch0_neuron0,	19.7334
_ch0_neuron0,	20.1583
_ch0_neuron0,	20.7405
_ch0_neuron0,	21.3078
_ch0_neuron0,	21.4947
_ch0_neuron0,	21.9030
_ch0_neuron0,	22.4891
_ch0_neuron0,	22.6723
_ch0_neuron0,	23.0617
_ch0_neuron0,	23.2495
_ch0_neuron0,	23.6112
_ch0_neuron0,	24.1698
_ch0_neuron0,	24.3648
_ch0_neuron0,	24.7492
_ch0_neuron0,	25.3530
_ch0_neuron0,	25.9512
_ch0_neuron0,	26.5334
_ch0_neuron0,	26.7358
_ch0_neuron0,	27.1788
_ch0_neuron0,	27.9280
_ch0_neuron0,	28.6702
_ch0_neuron0,	29.2746
_ch0_neuron0,	29.8573
_ch0_neuron0,	30.4576
_ch0_neuron0,	31.0640
_ch0_neuron0,	31.2548
_ch0_neuron0,	31.6878
_ch0_neuron0,	32.2896
_ch0_neuron0,	32.9343
_ch0_neuron0,	33.6582
_ch0_neuron0,	34.5347
_ch0_neuron0,	35.2117
_ch0_neuron0,	35.8739
_ch0_neuron0,	36.5038
_ch0_neuron0,	37.2520
_ch0_neuron0,	37.9973
_ch0_neuron0,	38.2080
_ch0_neuron0,	38.7866
_ch0_neuron0,	39.5974
_ch0_neuron0,	40.3317
_ch0_neuron0,	41.0113
_ch0_neuron0,	41.7093
_ch0_neuron0,	42.4189
_ch0_neuron0,	42.6331
_ch0_neuron0,	43.0429
_ch0_neuron0,	43.1547
_ch0_neuron0,	43.8511
_ch0_neuron0,	44.5306
_ch0_neuron0,	45.1065
_ch0_neuron0,	45.2263
_ch0_neuron0,	45.9447
_ch0_neuron0,	46.7370
_ch0_neuron0,	47.4901
_ch0_neuron0,	48.2045
_ch0_neuron0,	48.9401
_ch0_neuron0,	49.1523
_ch0_neuron0,	49.7089
_ch0_neuron0,	50.4919
_ch0_neuron0,	51.2150
_ch0_neuron0,	51.4048
_ch0_neuron0,	52.0062
_ch0_neuron0,	52.7915
_ch0_neuron0,	53.0034
_ch0_neuron0,	53.6024
_ch0_neuron0,	54.3274
_ch0_neuron0,	55.0443
_ch0_neuron0,	55.2554
_ch0_neuron0,	55.7761
_ch0_neuron0,	56.4968
_ch0_neuron0,	57.2058
_ch0_neuron0,	57.8790
_ch0_neuron0,	58.5574
_ch0_neuron0,	58.7612
_ch0_neuron0,	59.2744
_ch0_neuron0,	60.0326
_ch0_neuron0,	60.2517
_neuron0threshhig8183,	0.0000
_neuron0threshlow1888,	0.0000
