# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0392
_ch0_neuron0,	0.5074
_ch0_neuron0,	0.9808
_ch0_neuron0,	1.4811
_ch0_neuron0,	2.0286
_ch0_neuron0,	2.9315
_ch0_neuron0,	3.7215
_ch0_neuron0,	4.3543
_ch0_neuron0,	4.8559
_ch0_neuron0,	5.3257
_ch0_neuron0,	5.7891
_ch0_neuron0,	6.2694
_ch0_neuron0,	6.7862
_ch0_neuron0,	7.3281
_ch0_neuron0,	7.9122
_ch0_neuron0,	8.5351
_ch0_neuron0,	9.1565
_ch0_neuron0,	9.6998
_ch0_neuron0,	10.2217
_ch0_neuron0,	10.7623
_ch0_neuron0,	11.7773
_ch0_neuron0,	12.4810
_ch0_neuron0,	13.0215
_ch0_neuron0,	13.5152
_ch0_neuron0,	14.0053
_ch0_neuron0,	14.5429
_ch0_neuron0,	15.5629
_ch0_neuron0,	16.2968
_ch0_neuron0,	16.9792
_ch0_neuron0,	17.6363
_ch0_neuron0,	17.9355
_ch0_neuron0,	18.1424
_ch0_neuron0,	18.9729
_ch0_neuron0,	19.0863
_ch0_neuron0,	19.3182
_ch0_neuron0,	19.8077
_ch0_neuron0,	20.1279
_ch0_neuron0,	20.1855
_ch0_neuron0,	20.4915
_ch0_neuron0,	21.0644
_ch0_neuron0,	22.1239
_ch0_neuron0,	22.9906
_ch0_neuron0,	23.7692
_ch0_neuron0,	24.4856
_ch0_neuron0,	25.1496
_ch0_neuron0,	25.7752
_ch0_neuron0,	26.4160
_ch0_neuron0,	27.0705
_ch0_neuron0,	27.7673
_ch0_neuron0,	28.4571
_ch0_neuron0,	29.1279
_ch0_neuron0,	29.7599
_ch0_neuron0,	30.3737
_ch0_neuron0,	31.0501
_ch0_neuron0,	31.9268
_ch0_neuron0,	32.0567
_ch0_neuron0,	32.2555
_ch0_neuron0,	33.5588
_ch0_neuron0,	34.3339
_ch0_neuron0,	35.0442
_ch0_neuron0,	35.7125
_ch0_neuron0,	36.3569
_ch0_neuron0,	37.0022
_ch0_neuron0,	37.6424
_ch0_neuron0,	38.2907
_ch0_neuron0,	38.9460
_ch0_neuron0,	39.6088
_ch0_neuron0,	40.2467
_ch0_neuron0,	40.8501
_ch0_neuron0,	41.4024
_ch0_neuron0,	41.9139
_ch0_neuron0,	42.4131
_ch0_neuron0,	42.9240
_ch0_neuron0,	43.4776
_ch0_neuron0,	44.0960
_ch0_neuron0,	45.1539
_ch0_neuron0,	45.9810
_ch0_neuron0,	46.7988
_ch0_neuron0,	47.6425
_ch0_neuron0,	48.4572
_ch0_neuron0,	49.2677
_ch0_neuron0,	50.0373
_ch0_neuron0,	50.7697
_ch0_neuron0,	51.4747
_ch0_neuron0,	52.1439
_ch0_neuron0,	52.7814
_ch0_neuron0,	53.3608
_ch0_neuron0,	53.8917
_ch0_neuron0,	54.4184
_ch0_neuron0,	54.9930
_ch0_neuron0,	55.6447
_ch0_neuron0,	56.7789
_ch0_neuron0,	57.6593
_ch0_neuron0,	58.5261
_ch0_neuron0,	59.3860
_ch0_neuron0,	60.2081
_ch0_neuron0,	61.0068
_ch0_neuron0,	61.7825
_ch0_neuron0,	62.5238
_neuron0threshhig16729,	0.0000
_neuron0threshlow10878,	0.0000
