# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0243
_ch0_neuron0,	0.4985
_ch0_neuron0,	0.9600
_ch0_neuron0,	1.4184
_ch0_neuron0,	1.9139
_ch0_neuron0,	2.9808
_ch0_neuron0,	3.9242
_ch0_neuron0,	4.1016
_ch0_neuron0,	4.6850
_ch0_neuron0,	5.2929
_ch0_neuron0,	5.8197
_ch0_neuron0,	6.3056
_ch0_neuron0,	6.8171
_ch0_neuron0,	7.4574
_ch0_neuron0,	8.3255
_ch0_neuron0,	9.0872
_ch0_neuron0,	9.7194
_ch0_neuron0,	10.3004
_ch0_neuron0,	10.8628
_ch0_neuron0,	11.4237
_ch0_neuron0,	11.9840
_ch0_neuron0,	13.1671
_ch0_neuron0,	14.1657
_ch0_neuron0,	14.9457
_ch0_neuron0,	15.5435
_ch0_neuron0,	16.0750
_ch0_neuron0,	16.6204
_ch0_neuron0,	17.2255
_ch0_neuron0,	18.2522
_ch0_neuron0,	18.9700
_ch0_neuron0,	19.5348
_ch0_neuron0,	20.0921
_ch0_neuron0,	21.2374
_ch0_neuron0,	22.1389
_ch0_neuron0,	22.9072
_ch0_neuron0,	23.5928
_ch0_neuron0,	24.7907
_ch0_neuron0,	25.9029
_ch0_neuron0,	26.8901
_ch0_neuron0,	27.6622
_ch0_neuron0,	28.2609
_ch0_neuron0,	28.8215
_ch0_neuron0,	29.9961
_ch0_neuron0,	31.0068
_ch0_neuron0,	31.8188
_ch0_neuron0,	32.4720
_ch0_neuron0,	33.0729
_ch0_neuron0,	34.2004
_ch0_neuron0,	35.1164
_ch0_neuron0,	35.9633
_ch0_neuron0,	36.7875
_ch0_neuron0,	37.5310
_ch0_neuron0,	37.7355
_ch0_neuron0,	38.2235
_ch0_neuron0,	38.8717
_ch0_neuron0,	39.4898
_ch0_neuron0,	40.6945
_ch0_neuron0,	41.6909
_ch0_neuron0,	42.6617
_ch0_neuron0,	43.4971
_ch0_neuron0,	44.1883
_ch0_neuron0,	44.7931
_ch0_neuron0,	45.3982
_ch0_neuron0,	46.5277
_ch0_neuron0,	47.6014
_ch0_neuron0,	48.5904
_ch0_neuron0,	49.3897
_ch0_neuron0,	50.0401
_ch0_neuron0,	50.2323
_ch0_neuron0,	50.6580
_ch0_neuron0,	50.8403
_ch0_neuron0,	51.5118
_ch0_neuron0,	51.8193
_ch0_neuron0,	52.0459
_ch0_neuron0,	52.6597
_ch0_neuron0,	53.3182
_ch0_neuron0,	53.8997
_ch0_neuron0,	54.1162
_ch0_neuron0,	54.4971
_ch0_neuron0,	55.1742
_ch0_neuron0,	56.4100
_ch0_neuron0,	57.4356
_ch0_neuron0,	58.4927
_neuron0threshhig10785,	0.0000
_neuron0threshlow3734,	0.0000
