# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.4820
_ch0_neuron0,	1.0023
_ch0_neuron0,	1.5247
_ch0_neuron0,	1.7500
_ch0_neuron0,	2.0430
_ch0_neuron0,	3.5837
_ch0_neuron0,	4.1068
_ch0_neuron0,	4.6225
_ch0_neuron0,	5.1270
_ch0_neuron0,	5.6346
_ch0_neuron0,	6.1415
_ch0_neuron0,	6.6380
_ch0_neuron0,	7.1365
_ch0_neuron0,	7.6341
_ch0_neuron0,	8.1262
_ch0_neuron0,	8.6121
_ch0_neuron0,	9.0977
_ch0_neuron0,	10.0954
_ch0_neuron0,	10.6260
_ch0_neuron0,	11.1546
_ch0_neuron0,	11.6710
_ch0_neuron0,	12.1838
_ch0_neuron0,	12.7006
_ch0_neuron0,	13.2146
_ch0_neuron0,	13.7268
_ch0_neuron0,	14.2458
_ch0_neuron0,	14.7584
_ch0_neuron0,	15.2704
_ch0_neuron0,	15.7759
_ch0_neuron0,	16.2706
_ch0_neuron0,	16.7691
_ch0_neuron0,	17.2733
_ch0_neuron0,	17.7817
_ch0_neuron0,	18.3015
_ch0_neuron0,	18.8402
_ch0_neuron0,	19.3852
_ch0_neuron0,	19.9397
_ch0_neuron0,	20.4937
_ch0_neuron0,	21.0265
_ch0_neuron0,	21.5623
_ch0_neuron0,	22.0921
_ch0_neuron0,	22.6375
_ch0_neuron0,	23.1998
_ch0_neuron0,	23.7463
_ch0_neuron0,	24.2820
_ch0_neuron0,	24.8328
_ch0_neuron0,	25.4057
_ch0_neuron0,	26.0131
_ch0_neuron0,	26.6366
_ch0_neuron0,	27.2129
_ch0_neuron0,	27.7673
_ch0_neuron0,	28.3196
_ch0_neuron0,	28.8837
_ch0_neuron0,	29.4806
_ch0_neuron0,	30.0931
_ch0_neuron0,	30.7223
_ch0_neuron0,	31.3451
_ch0_neuron0,	31.9259
_ch0_neuron0,	32.4855
_ch0_neuron0,	33.0239
_ch0_neuron0,	33.5635
_ch0_neuron0,	34.1021
_ch0_neuron0,	34.6409
_ch0_neuron0,	35.1770
_ch0_neuron0,	35.6996
_ch0_neuron0,	36.2222
_ch0_neuron0,	36.7453
_ch0_neuron0,	37.2794
_ch0_neuron0,	37.8251
_ch0_neuron0,	38.3711
_ch0_neuron0,	38.8892
_ch0_neuron0,	39.4017
_ch0_neuron0,	39.9083
_ch0_neuron0,	40.4202
_ch0_neuron0,	40.9491
_ch0_neuron0,	41.5252
_ch0_neuron0,	42.1277
_ch0_neuron0,	42.7270
_ch0_neuron0,	43.3106
_ch0_neuron0,	43.8661
_ch0_neuron0,	44.4126
_ch0_neuron0,	44.9451
_ch0_neuron0,	45.4678
_ch0_neuron0,	45.9843
_ch0_neuron0,	46.4978
_ch0_neuron0,	47.0125
_ch0_neuron0,	47.5128
_ch0_neuron0,	48.0066
_ch0_neuron0,	48.4996
_ch0_neuron0,	49.0162
_ch0_neuron0,	49.9038
_ch0_neuron0,	50.7799
_ch0_neuron0,	51.6415
_ch0_neuron0,	52.3928
_ch0_neuron0,	53.0961
_ch0_neuron0,	53.7608
_ch0_neuron0,	54.3754
_ch0_neuron0,	54.9591
_ch0_neuron0,	55.5371
_ch0_neuron0,	56.1190
_ch0_neuron0,	56.6696
_ch0_neuron0,	57.2100
_ch0_neuron0,	57.7482
_ch0_neuron0,	58.2993
_ch0_neuron0,	58.9111
_neuron0threshhig-5749,	0.0000
_neuron0threshlow-12212,	0.0000
