# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.4148
_ch0_neuron0,	0.9072
_ch0_neuron0,	1.3925
_ch0_neuron0,	1.8775
_ch0_neuron0,	2.3660
_ch0_neuron0,	2.8620
_ch0_neuron0,	3.3484
_ch0_neuron0,	3.8366
_ch0_neuron0,	4.3272
_ch0_neuron0,	4.8259
_ch0_neuron0,	5.3171
_ch0_neuron0,	5.8052
_ch0_neuron0,	6.2990
_ch0_neuron0,	6.8086
_ch0_neuron0,	7.3364
_ch0_neuron0,	7.8532
_ch0_neuron0,	8.3608
_ch0_neuron0,	8.8731
_ch0_neuron0,	9.4003
_ch0_neuron0,	9.9389
_ch0_neuron0,	10.4610
_ch0_neuron0,	10.9740
_ch0_neuron0,	11.4878
_ch0_neuron0,	12.0289
_ch0_neuron0,	12.5795
_ch0_neuron0,	13.1117
_ch0_neuron0,	13.6287
_ch0_neuron0,	14.1384
_ch0_neuron0,	14.6554
_ch0_neuron0,	15.2241
_ch0_neuron0,	15.9127
_ch0_neuron0,	16.5670
_ch0_neuron0,	17.1593
_ch0_neuron0,	17.7529
_ch0_neuron0,	18.3430
_ch0_neuron0,	18.9097
_ch0_neuron0,	19.4592
_ch0_neuron0,	19.9865
_ch0_neuron0,	20.4965
_ch0_neuron0,	21.0145
_ch0_neuron0,	21.5741
_ch0_neuron0,	22.2962
_ch0_neuron0,	22.9594
_ch0_neuron0,	23.5843
_ch0_neuron0,	24.2450
_ch0_neuron0,	24.9596
_ch0_neuron0,	25.6171
_ch0_neuron0,	26.2209
_ch0_neuron0,	26.7922
_ch0_neuron0,	27.3587
_ch0_neuron0,	28.8443
_ch0_neuron0,	29.7067
_ch0_neuron0,	30.5716
_ch0_neuron0,	31.4494
_ch0_neuron0,	32.3102
_ch0_neuron0,	33.1908
_ch0_neuron0,	34.0273
_ch0_neuron0,	34.8428
_ch0_neuron0,	35.6128
_ch0_neuron0,	36.3506
_ch0_neuron0,	37.0354
_ch0_neuron0,	37.7008
_ch0_neuron0,	38.3483
_ch0_neuron0,	38.9556
_ch0_neuron0,	39.5392
_ch0_neuron0,	40.1356
_ch0_neuron0,	41.1123
_ch0_neuron0,	42.0042
_ch0_neuron0,	42.8468
_ch0_neuron0,	43.7096
_ch0_neuron0,	44.6248
_ch0_neuron0,	45.5500
_ch0_neuron0,	46.4319
_ch0_neuron0,	46.6455
_ch0_neuron0,	47.2592
_ch0_neuron0,	48.0026
_ch0_neuron0,	48.2059
_ch0_neuron0,	48.6791
_ch0_neuron0,	48.8772
_ch0_neuron0,	49.3308
_ch0_neuron0,	49.9604
_ch0_neuron0,	50.5450
_ch0_neuron0,	50.7713
_ch0_neuron0,	51.1093
_ch0_neuron0,	51.6798
_ch0_neuron0,	52.4680
_ch0_neuron0,	53.4696
_ch0_neuron0,	54.3799
_ch0_neuron0,	55.2816
_ch0_neuron0,	56.2298
_ch0_neuron0,	57.1914
_ch0_neuron0,	58.1666
_ch0_neuron0,	59.1046
_ch0_neuron0,	59.3223
_ch0_neuron0,	60.0153
_ch0_neuron0,	60.2264
_ch0_neuron0,	60.8393
_ch0_neuron0,	61.0654
_ch0_neuron0,	61.5623
_ch0_neuron0,	61.7702
_neuron0threshhig18057,	0.0000
_neuron0threshlow6819,	0.0000
